Date,Company,Year,Quarter,Revenue,Cost of Goods Sold,Gross Profit,Operating Income,Operating Expenses,Net Income,Gross Margin,Operating Margin,Net Margin
2022-01-01,DIPD.N0000,2022,1,46386667000.0,44561333000.0,10732650000.0,7596775000.0,6206450000.0,6077420000.0,23.137359707262434,16.37706584954681,13.101652679637448
2022-04-01,DIPD.N0000,2022,2,25093099000.0,15374560000.0,5355916000.0,5012432000.0,2253288000.0,4009945600.0,21.344179130684495,19.975340630505624,15.980272504404496
2022-07-01,DIPD.N0000,2022,3,30013255000.0,31989523000.0,10004535000.0,7247342000.0,4837685000.0,5797873600.0,33.33372205047403,24.147137656345503,19.317710125076403
2022-10-01,DIPD.N0000,2022,4,26232536000.0,47318492000.0,14262521000.0,8835827000.0,7705312000.0,7068661600.0,54.369585159437115,33.68270227476291,26.94616181981033
2023-01-01,DIPD.N0000,2023,1,55293983000.0,60490240000.0,19609071000.0,11218691000.0,10747691000.0,8974952800.0,35.46329986754617,20.289171427567446,16.231337142053956
2023-04-01,DIPD.N0000,2023,2,25450442000.0,15084368000.0,3466844000.0,1262435000.0,2310752000.0,1009948000.0,13.62194023978051,4.960365717813467,3.9682925742507735
2023-07-01,DIPD.N0000,2023,3,41994058000.0,29123404000.0,7700781000.0,2943756000.0,5163283000.0,1863113000.0,18.33778721742014,7.009934595984984,4.436611008157392
2023-10-01,DIPD.N0000,2023,4,61581013000.0,43299386000.0,11566520000.0,4297780000.0,7802012000.0,2779338000.0,18.782607554701965,6.9790667457841264,4.513303475537176
2024-01-01,DIPD.N0000,2024,1,80099312000.0,56882914000.0,17059046000.0,7567448000.0,10149466000.0,5737977000.0,21.297368946190197,9.447581771988252,7.163578383794357
2024-04-01,DIPD.N0000,2024,2,28156437000.0,15665738000.0,3520588000.0,1203475000.0,2598062000.0,812512000.0,12.503670119908994,4.274244642530587,2.885706028784821
2024-07-01,DIPD.N0000,2024,3,36824185000.0,32303881000.0,8159588000.0,3028284000.0,5222414000.0,2119244000.0,22.158231064720102,8.22362803141468,5.755033003445969
2024-10-01,DIPD.N0000,2024,4,54865906000.0,47818315000.0,11988421000.0,4428187000.0,8082710000.0,3276732000.0,21.85040196000773,8.070926596928883,5.9722553383152
