Date,Company,Year,Quarter,Revenue,Cost of Goods Sold,Gross Profit,Operating Expenses,Operating Income,Net Income,Gross Margin,Operating Margin,Net Margin
2022-01-01,REXP.N0000,2022,1,2767931.0,1735091.0,1032840.0,574229.0,458611.0,991658.0,37.31451398174304,16.56872949506328,35.82668787625125
2022-04-01,REXP.N0000,2022,2,2661097.0,1979877.0,681220.0,463565.0,217655.0,250220.0,25.599217164951142,8.17914566812108,9.402889109265839
2022-07-01,REXP.N0000,2022,3,1909048.0,1487153.0,421895.0,410393.0,11502.0,52543.0,22.099758623146197,0.6024992561737578,2.752314242491545
2022-10-01,REXP.N0000,2022,4,1604137.0,1037979.0,566158.0,7938.0,169189.0,1033224.0,35.293618936537214,10.547041805032862,64.40995999718228
2023-01-01,REXP.N0000,2023,1,1474458.0,1275967.0,198491.0,119094.59999999999,79396.40000000001,20480.0,13.461963650371867,5.384785460148747,1.3889849693921428
2023-04-01,REXP.N0000,2023,2,2069984.0,1661929.0,408055.0,244833.0,163222.0,83650.0,19.71295430302843,7.885181721211372,4.041094037441835
2023-07-01,REXP.N0000,2023,3,2089873.0,1670217.0,419656.0,251793.59999999998,167862.40000000002,74245.0,20.080454649636607,8.032181859854642,3.5526082206909226
2023-10-01,REXP.N0000,2023,4,1702720.0,1234766.0,467954.0,448015.0,19939.0,10744.0,27.48273350873896,1.1710087389588424,0.6309904153354633
2024-01-01,REXP.N0000,2024,1,1682540.0,1439393.0,243147.0,145888.19999999998,97258.8,14640.0,14.451186896002472,5.780474758400989,0.8701130433748976
2024-04-01,REXP.N0000,2024,2,2139733.0,1707131.0,432602.0,259561.19999999998,173040.80000000002,63605.0,20.217569201391015,8.087027680556407,2.9725671380494667
2024-07-01,REXP.N0000,2024,3,1941892.0,1607594.0,334298.0,200578.8,133719.2,38504.0,17.215066543350506,6.886026617340203,1.9828085187023787
2024-10-01,REXP.N0000,2024,4,1486128.0,1123186.0,362942.0,217765.19999999998,145176.80000000002,116141.44000000002,24.42198787722188,9.768795150888753,7.815036120711002
